d,A* h1,d,A* random heuristic,,d,A* h2,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,d,A* h1,A* h2,A*random heuristic
2,7,2,7,,2,7,,,,,2,6.02,6.02,6.02
2,7,2,7,,2,7,,,,,4,9.79,11.13,14.94
2,7,2,7,,2,7,,,,,6,16.48,17.16,27.32
2,5,2,5,,2,5,,,,,8,31.03,25.46,55.39
2,5,2,5,,2,5,,,,,10,68.98,41.74,120.19
2,5,2,5,,2,5,,,,,12,159.07,71.07,219.88
2,7,2,7,,2,7,,,,,14,379.37,146.43,598.9
2,5,2,5,,2,5,,,,,16,884.91,280.64,1473.17
2,5,2,5,,2,5,,,,,18,2043.1,506.17,2810.11
2,7,2,7,,2,7,,,,,20,4920.91,864.95,5714.34
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,5,2,5,,2,5,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
2,7,2,7,,2,7,,,,,,,,
4,10,4,11,,4,10,,,,,,,,
4,10,4,16,,4,10,,,,,,,,
4,10,4,11,,4,10,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,12,4,14,,4,10,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,16,,4,10,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,10,4,13,,4,12,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,12,4,14,,4,10,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,10,,4,10,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,13,,4,12,,,,,,,,
4,10,4,11,,4,10,,,,,,,,
4,10,4,16,,4,10,,,,,,,,
4,11,4,11,,4,11,,,,,,,,
4,12,4,14,,4,10,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,11,,4,10,,,,,,,,
4,11,4,15,,4,11,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,10,,4,10,,,,,,,,
4,10,4,13,,4,12,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,12,4,14,,4,10,,,,,,,,
4,10,4,17,,4,10,,,,,,,,
4,12,4,15,,4,10,,,,,,,,
4,11,4,11,,4,11,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,10,,4,10,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,10,,4,10,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,11,4,11,,4,11,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,16,,4,10,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,8,4,14,,4,8,,,,,,,,
4,10,4,11,,4,10,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,10,4,13,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,10,,4,10,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,13,,4,13,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,12,4,15,,4,10,,,,,,,,
4,12,4,15,,4,10,,,,,,,,
4,10,4,12,,4,12,,,,,,,,
4,11,4,11,,4,11,,,,,,,,
4,10,4,22,,4,15,,,,,,,,
4,10,4,13,,4,13,,,,,,,,
4,10,4,17,,4,12,,,,,,,,
4,10,4,15,,4,13,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
4,8,4,11,,4,8,,,,,,,,
6,20,6,37,,6,24,,,,,,,,
6,14,6,22,,6,17,,,,,,,,
6,11,6,33,,6,14,,,,,,,,
6,20,6,23,,6,24,,,,,,,,
6,26,6,31,,6,21,,,,,,,,
6,24,6,32,,6,18,,,,,,,,
6,24,6,27,,6,18,,,,,,,,
6,13,6,31,,6,19,,,,,,,,
6,13,6,28,,6,15,,,,,,,,
6,13,6,25,,6,22,,,,,,,,
6,20,6,29,,6,13,,,,,,,,
6,14,6,29,,6,14,,,,,,,,
6,13,6,31,,6,19,,,,,,,,
6,15,6,28,,6,15,,,,,,,,
6,20,6,26,,6,24,,,,,,,,
6,14,6,29,,6,17,,,,,,,,
6,15,6,31,,6,15,,,,,,,,
6,22,6,22,,6,17,,,,,,,,
6,14,6,29,,6,17,,,,,,,,
6,13,6,27,,6,20,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,13,6,31,,6,16,,,,,,,,
6,14,6,28,,6,14,,,,,,,,
6,26,6,27,,6,20,,,,,,,,
6,21,6,30,,6,15,,,,,,,,
6,13,6,28,,6,19,,,,,,,,
6,14,6,29,,6,17,,,,,,,,
6,20,6,29,,6,13,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,26,6,27,,6,20,,,,,,,,
6,20,6,26,,6,24,,,,,,,,
6,22,6,22,,6,17,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,13,6,31,,6,19,,,,,,,,
6,13,6,25,,6,22,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,14,6,22,,6,17,,,,,,,,
6,13,6,25,,6,16,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,13,6,28,,6,19,,,,,,,,
6,19,6,23,,6,16,,,,,,,,
6,13,6,31,,6,16,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,26,6,27,,6,20,,,,,,,,
6,20,6,37,,6,24,,,,,,,,
6,13,6,28,,6,19,,,,,,,,
6,24,6,32,,6,19,,,,,,,,
6,11,6,33,,6,14,,,,,,,,
6,24,6,27,,6,18,,,,,,,,
6,11,6,33,,6,14,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,11,6,33,,6,14,,,,,,,,
6,15,6,22,,6,15,,,,,,,,
6,14,6,29,,6,17,,,,,,,,
6,20,6,32,,6,24,,,,,,,,
6,20,6,29,,6,13,,,,,,,,
6,14,6,22,,6,17,,,,,,,,
6,15,6,31,,6,15,,,,,,,,
6,13,6,28,,6,15,,,,,,,,
6,14,6,22,,6,17,,,,,,,,
6,21,6,30,,6,15,,,,,,,,
6,11,6,23,,6,14,,,,,,,,
6,14,6,28,,6,14,,,,,,,,
6,21,6,21,,6,15,,,,,,,,
